銘柄名,preprocessed_text
No.6,初めて飲む新政のno6 type rベ シックな純米吟醸 旨い  酸味と甘味のバランスがいい それでいて飲んだ後の円やかなのど越し 正規の値段からすればcpは抜群  流石に入手困難な理由はあるなと感心 機会を見つけてさがすぞ 
Ohmine,毎日毎日コロナコロナで滅入った気分を 晴らしてくれそうな気がして購入した数本の内の一本  どことなくバナナ香を感じますが  大枠は一粒だけで満足感を与えるかのような  高級マスカットを感じさせる  低アル原酒による軽快感と 愛山らしいボリュウム感ある甘旨味が程よくバランス  旨い  優しい口当たり マスカットの瑞 しい甘味が爽やかに  ヒケは重たさなくキレ良いです  これは旨い ラベルもスタイリッシュで格好良い  この銘柄はちょっと注目ですね  ラムネの香り 甘味を感じますが 若い林檎の様な酸味が味の中心に感じられます 
SABA de SHU,なぜか鯖専用の酒 精米歩合とか どんな等級かの記載はない 夕食に鯖の味噌煮が出たときに合わせてみる 香りは穏やかで味は酸味が抑えられた辛口 淡麗ではなく味はしっかり 脂分を洗い流すような辛口でちょうどよい 別の日にコロッケや空揚げも試すが 脂分の多いものがいい  青いサバのラベルが多いが うちにあったのは380分の1の確率で入っている黄金のサバでした 
Shangri-la 2013,     の最後    のトリを飾るホスト蔵は白瀑  個人的に好きな蔵元なんで興味津  本購入 笑   含むと青リンゴ系の艶やかな吟香とジュ シ な甘味と酸味  度数  度なので軽やかにスイスイ飲めます       の酒全てを飲んだ訳ではないので分かりませんが  香りといい 酸味といい ホスト蔵でもある白瀑さがかなり前面に出てる ような気がします それも山本さんらしさなのかな  これで良いような もう少し何かを求めたくなるような   笑 
Takachiyo,とても甘いフル ティ な香り 香りから想像される通りの甘さで イチゴのような風味が広がる 適度に酸味もあってクセがない 甘いのでずっと飲んでいると少し飽きてくるが うまい酒です  生原酒なので濃いくて超フル ティ これもヤバイので 2合半ではやめるべき ちょっと祝い事あったので買ったが 雄町でよかったかも キンキンに冷やしてるとほんとに進んでしまう  立ち香華やか 含むとトロピカルフル ツの盛合せを食べたかのような  ゴ ジャスなフル ツ感 含み香も華やか  生原酒らしいフレッシュさも備わっている  だからといって決してくどすぎず 余韻にかけてきちんと収束されて  ビブラ トのようにヒケていきます 旨いっす 
You / U,麹米50% 掛米60%の純米原酒です アルコ ルが13%なので飲みやすい わずかに炭酸があり 甘口に感じますが後味すっきりの実は辛口 ワインのような感じです  度数  度の純米原酒 山廃   含むとスルリと滑るように入ってくる  青リンゴの様な若 しくも爽やかな香味  優しい柔らさの上に山廃による旨味がきちんと乗っている  余韻は仄かに甘酸っぱい酸でフワッとキレる    ユ  は優の意味だそうで なるほど確かに優しい味わい  優しいだけでなく優れている意味でも 優 でありそうだ  単なる薄味の夏物とは一味違う  きちんとしたコンセプトを感じさせてくれる優れ物です 
〆張鶴,精米歩合60 の生原酒 アルコ ル度数は20%と高い アルコ ルの香りなのか少し甘い香りがする 味はやや甘くて濃い あと味は苦みや渋みが余り感じられず切れが良い ぬるくなると甘目が強く出てくるのでロックがいいかも  辛口を期待して 張鶴を初めて飲みました  純 精米歩合50% アルコ ル度数15度  やはり淡麗辛口 香りは控えめで 米の感じも少なく キリッとした辛口でキレが良い  個人的にはサッパリしすぎかな 春鹿の超辛口の方が 米の旨味を残していたと思います 料理には合わせやすく 煮つけが美味しそうな感じ  盃に注がれた色合いは うっすらと黄色みがかり純米の熟成を予感させる  香りは穏やかな吟醸香 苦味は若干感じるものの気にならない  酸味は軽く 手巻き 刺身の油分 を流す絶妙のバランスは さすが鮭の町 村上の蔵元だけのことはある  切れは 同蔵の 吟選 同様切れが良く まとまりの良いお酒である  辛口端麗 切れよくサッパリ感で選ぶなら  張鶴  吟選   酸味と軽めのコクを求めるなら  純米吟醸 といったところである  イチゴに近い香りも有りますが  どちらかというと米の旨味をしっかりと感じさせられる純吟です  余韻も思ったよりどっしりとした酸 少し苦みも感じます  今まで感じていた 張鶴の印象とは異なって骨太感がありますね  常温や燗でもいけそうです  吟醸としては香りは控え目  スキッとするシャ プな口当たりで  甘味はあまり目立ちません  後に残らないので  食中酒としても好適でしょう  仕事帰りに夕飯とともに  以前 金ラベルをいただいたときにも感じたが  スペック上辛口なのに  非常にデリケ トな甘味を感じる  変なたとえですが 甜茶の甘味に似た印象  ちょっと探求してみたくなりました  新潟の居酒屋さんで とてもお徳な値段だったので さして期待もせず オ ダ しましたが   いやいや 恐れ入りました  まろやかで かつスッキリした味わいの良いお酒です  今更ながら さすが 張  ですね  新潟の酒にしては旨口というか きちんとした味わいがありました  はじめはセメダインのような刺激臭が鼻を突きましたが慣れれば 許容範囲内です 値段と入手のしやすさを考えれば及第点です  香りは穏やかで どちらかと言えば辛め  あまり旨味が感じられず 個人的にはいまいち  もう少し濃い方が好みかなあ    評価も高く 期待していた分ちょっとがっかり  口当たりスッキリで 限度まで呑んでも悪酔いしないよ 醸造酒  麹に酷があって米の芯から香る 花の香り 酒はうまいねぇ  冷や 常温 で飲んでみました  含むとフワッと優しい柔らかな甘味  ドライはドライですが 思ったよりドライ感は弱めに感じます  酸もきちんとあり 食中に良いです  前に飲んだ 純 の方向性に向いた味かな   升で     円   良いです 毎日の晩酌に最適  接待でいただいた酒  大変なめらかでツルツルと飲める  刺激がないので甘口のようにも感じるが  ベタつかないのである  普通高い酒は飲まないポリシ であるが  やはり高いだけのことはある  下越の中では群を抜く知名度  価格もお手ごろ しかもカ トン入りが嬉しい限り  上位クラスの金 銀ラベルは今年も手に入らず断念  変わりにといっては お酒に失礼かもしれないが吟撰をゲット  風味はやや辛口 一口二口目は軽やかでスイスイといってしまう分  コクにやや物足りなさを感じる  しかし また直ぐに飲みたくなる不思議なお酒でもある  このお酒は 雑味無く 美味しい  新潟県産の越淡麗を使用したお酒です 去年までは吟醸酒でしたが今年は純米吟醸になっていました 純と比べより辛口でドライな感じがしました 個人的には純よりも気に入りました  新潟のお酒は いい意味でも悪い意味でも水のようなものが多いという印象があったが このお酒もそんな感じ  ただし いい意味でこちらは水のようだ  飲み口は非常に穏やかで飲み疲れしない 気が付けば杯をどんどん重ねているという感じだ  しかも 薄さは感じさせない  とてもよくできたお酒だと思う  水です 端麗にも程がある  これは旨い 含むと生のフレッシュクリ ミ な味わいと  濃密なリンゴのような甘味 鼻を抜ける吟香が心地良い  余韻は酸味を残しつつ やや弱めな辛口ドライ感を伴ってキレていきます  四合瓶で    円ですが 全然高いと思いません  大吟醸クラスのグレ ドを感じます  なんだかモヤモヤするストレスを感じた人はこのお酒をお勧め  嫌な気分をどこかに吹っ飛ばしてくれます  シャ プな香り 淡麗辛口がたっぷり キレとれたように爽やか  まさに越後地酒の代表  一年一度しか飲めないから  張鶴のファンを40人集めて 6度の温度で飲んでみました  カプロンの多いため りんごのような香りがします 夏場で一口飲むと 涼しく ドライ感のよし みんなも 酒王 と呼びました  その夜他に鑑評会金賞もあるけれど 金ラベルが一番でした  バナナのような香りと味が印象的  余韻は辛口でキレていきますが  今まで抱いていた新潟酒の淡麗辛口とは違いますね  燗でもいけそうですね  煮物等の甘味のあるものと合いそうです  私を食中酒の世界に引き入れた酒です  美味しい住吉 酔鯨とは又違う別世界の味わいです  料理を引き立たせるお酒として ずっと愛飲しています  もちろん周りの人にも勧めていますが 如何でしょう  乾杯  いただきます  新潟の酒は品評会向けなのか 香りオンリィで旨味に欠けるものが多いので なかなか購入しませんでしたが     張りの純は旨口の本来の新潟の酒だよ と聞いて 購入  いやあ   旨いなあ ほんとうの淡麗って こんなに旨口だったのね  すらりとして呑みあきしない  何より 香りが控え目で気に入りました  個人的に香り高いのは鼻が疲れて苦手なので こういう旨いを芯においてる 酒はいいですね  今まで私が飲んだ新潟のお酒はどれも端麗系で あまり好みではなかったのですが これは うまい  と思いました 透き通った味なのに 絶妙な香りと旨みが しっかりと乗せてありますね cpも良いし 張のファンになりました  大昔のクリスマス バイト先に持って行って皆で飲みました  そこにいた日本酒嫌いの人たちを全員日本酒好きにさせたという 個人的には伝説の酒 初心者を開眼させる効果抜群で 実は私もこれで日本酒好きになりました  バナナっぽい香りの中にキレ味があり やはりある種の高級感を感じます 幻のような芳香を持つ思い出深い逸品です     しかし   この前飲んだら雑味酸味がかなり強く二日目のワインのようでした 時期によってあたりはずれあるかもしれません   張鶴生原酒 ひょんなことで手に入り 初めて戴きました 香りはほのかで 含むと甘さと爽やかさがバランスを保ちながら花開き かすかに余韻を残しつつも 切れのある喉越し 吟醸クラスのものも ぜひ試したいと思わせる生原酒でした まさにトップクラスの清酒です  正直 あまり好きなタイプではなかったです  辛味が強く 香りはあまりなかったように思います  香りはあまり無く 辛みがかなりあります  その辛さから 一口目などはすっきりしているのですが  だんだん 苦みや雑味が結構残るように感じました  人気は高いようですが 自分の好みからすると  苦手なほうでした  昨年  末に初めて しぼりたて生原酒 を入手 正月を跨ぎすっかり忘れてて    月に飲み切りました この上ないフル ティさ 少し甘めが僕にぴったり お気に入りの 張鶴 雪 が優しく冬化粧をしたような感覚を受けました コクがあるので冬に飲むのがお勧めですね  買って忘れずにすぐ飲んだらもっとフル ティだったのかなぁ  三田村邦彦さんがテレビ番組で 世界一旨い酒 と言っていました   権力を利用して  毎年送ってもらっているそうです  羨ましい限り  私は  純 純米吟醸酒 のほうが好きですね  新潟らしい酒として勧めても文句はでないでしょう  五百万石 精米歩合   で一升瓶    円は安いよ  この蔵元らしく端麗辛口で香りは清 しく 飲み口もスッキリとしている 雑味も感じない 今まで飲んできた 純米吟醸 では一番辛い キリッと冷やして頂きたいです 新潟端麗辛口をお好みの人にはお薦めします  鰤大根と鱈鍋を肴にいただいた   特撰 よりもキレがあり  純 よりも華やかな香があるなかなかの酒  間違いなく美味いのだが 私は 月 の方がいい      貧乏舌なのか  雪 月はお値打ちですね 雪は月に比べ甘い感じで女 月はピシッとした男を感じます  純米酒好きの僕は 以前 純 に手を出しましたが   こちらは 他人でした   o    職場の近所の地酒専門店でフツ に売っていました  プレミアもんだということでウキウキで三種類get    素敵なネ ミング  感想は    いわゆる普通のポン酒かな  って感じです  いわゆる端麗 辛口ってヤツでしょうか  値段なりの味ですね 有名銘柄もそれなりのクラスでないと普通だなと こないだの黒龍とあわせて実感  自分の求めるお酒ではなかったデス   張鶴は 本醸造 月 が私の中のベスト ですが 先日 純  特選 を同時に飲む機会があったので飲み比べました   純 関東圏ではだいぶ人気のようですが 噂に聞くほどではない しかしながら 米の旨さが上手に表現された純米吟醸酒には違いない   特選 こう言ってはなんだが よく出来た吟醸酒といった感じで特徴がない  やはり コストパフォ マンスを考えると 月   なのは変わらないだろう   雪 月 花 を飲みました  値段も手ごろですし 何よりも美味しい  まさに値打ち以上ですね  コストパフォ マンス最高です 下手な大吟醸より はるかに美味しい 口当たりがよく キレがあるので いくらでも飲めてしまうのが難点でしょうか みなさんの口コミを見ての購入  肩すかしを食らった    なんて事は無い    こけこっこさんのコメントに納得の一品    飲みました 一口口に含むと 張鶴の美味しさ  張鶴らしさが口一杯に広がります  しぼり立て生酒 も美味しいのですが19 0度なので私にはつらい  旨い ですね  味はスッキリ 端麗辛口の傾向ですが 米の甘味もしっかり感じれますから 日本酒が苦手な方でも美味しくいただけると思います   月 花 雪 を飲んだ事がある方には 是非とも飲んでいただきたいですね  のみやすいですね  まさに端麗辛口 鼻に通るさわやかさがある 定価はこの味にしてはそうとう安い  張って言うと東京辺りでは純が人気のようですが私は 雪 月 花が好きです 順番的には月 花 雪ですが しいて言えば雪は飲まなくてもいいかなって感じです  月 花は香りやら何やらはあえて語る物ではないですが 一応淡麗辛口なのかな 月はほのかに米の香りがしたような気がします 花はいわゆる普通酒ですね  普通に美味しく晩酌にはもってこいの飲み飽きしなく 疲れない酒です  そりゃあ世の中 金さえ出せば美味いもんはなんぼでもありまっせ しかし安くて美味いのが一番でしょう  一回 張り鶴の普通酒を飲んでみれば 吟醸でもこの普通酒にかなわないのがいくらでもあることがわかりますよ   張鶴の蔵元は宮尾酒造 株 です  訂正をお願い致します  当店は山形県で唯一の 張鶴の正規販売店です  この酒の旨さに魅了され十有余年 淡麗でありながら柔らかな旨味があるという日本酒の傑作です   張鶴に関する問い合わせは以下のアドレスまでメ ルください  maru8 carrot ocn ne jp まるはち酒店 http   www8 ocn ne jp  maru8 
あ、不思議なお酒,洋風飲み屋で飲んだ  日本酒度   度 普段 甘口 とされる酒を飲まないのだが 甘い辛い云 以前に  日本酒 の枠から出ていて面白い  甘い飲み物好きのアルコ ル好きは飲んでみるべし  酒臭くないし アルコ ル度数も低いので 日本酒だめだ という人でも普通に飲めそうだ  私は結構好きだ 
あさ開,やさしい純米の香 やさしい純米の甘さ 酸味苦みは控えめ 刺激少なく飲みやすく飲み疲れしない 精米歩合55  アルコ ル14  岩手県産米100  冷酒からぬる燗くらいまでいけると思う  インタ ナショナルワインチャレンジ2019純米酒の部銀賞  色はほぼ無色透明 青りんご系吟醸香 先に軽い甘みで後に酸味がくる 全体的に軽めでさっぱりすっきりしている 淡麗辛口っていう感じ 精米歩合55  アルコ ル分15 だが ちょっとアルコ ルきつめに感じる 岩手県産米100  追記 開栓   日すると甘みが強くなって旨口寄りになってきた  端麗中口  香り抑えめ 呑み口すっきり  全体的に軽いお酒  ワインに例えるなら ライトボディ   あさ開ファンの私としては おすすめできる一本です  端麗にもほどがあるだろ  というような味わい  水のような淡白さは例えば越乃寒梅のような 新潟の端麗酒に通じるところがある  コスパは良いのだろうけど 正直好みではなかった  精米歩合70% 雑味がなく なめらかな舌触りとキレのいい喉越し  ちょうどいい辛口にまとまった とても美味しいお酒です  辛さ 甘さ 香りのバランスがいい  とても美味しいですね  あさ開シリ ズは外れがないです  パインとマスカットを混ぜたような爽やかな吟醸香  きりっと辛い呑み口 後口は甘い  とても美味しいですね 贅沢する価値のあるお酒です  アルコ ル度数16 17 精米歩合40   香り華やか  エグ味 雑味の無いスッキリとした甘さと旨み  純米吟醸でもクセのある あさ開 は正直苦手ですが  40 ともなると流石に別物  美味  甘味 酸味 辛味 苦味のバランスがとてもよく取れているお酒です  見かけた方は是非呑んでみてください  香りは控えめですが あさ開きらしい メロン系の香りはちゃんとします  濃厚で 旨口といった印象  コッテリした料理によく合います  青い箱に金の文字で かっこいいデザインです  メロンのような リンゴのような吟醸香と  まろやかな甘みの後に立つきりっとした辛み  とてもおいしいお酒です  あさ開はいくつか飲みましたが  4合で1300円台という手ごろな価格を 考えると 個人的にはあさ開では これが一番好きです  平成  年度の金賞受賞酒  香りは上品に立ち 味わいはまろやかクリ ミ な旨味  やや熟成したような風味も感じます  少し整いすぎている整形美人的な感じもありますが 旨いことに違いはありません  甘味 酸味を感じない スッキリした味  すごく辛口 味全体のバランスと辛口のバランスが もっと良くても良い なぜこんなに辛口の必要があるの  すばらしい香りです この華やかな香りは茨城の 一人娘 以来かも  とても満足でした おつまみは要らないお酒です  純吟 純米 本醸造を5種ほど居酒屋さんの比べ呑メニュ で呑みました どれも   よく言えばまろやか 悪く言えば香りがひねててくどい感じです おじいちゃんおばあちゃんにはいいかもしれませんが 30代までの人にはほぼ合わないことうけあいでしょう  お酒の味が良い  押しがあり 雑味 香り 酸味は無い  後味にもう少し甘味が有る方が良いかも  cpが高い  旬楽シリ ズ第6段最終章 アルコ ル度16度以上17度未満 酒造好適米 吟ぎんが 精米歩合55  日本酒度 3 5 アミノ酸度1 5 火入れ2回 酸味のある おだやかでやや爽快な立香  熱燗で一杯 ツンとする事も無く  やや強めの酸味を感じながら心地よい喉越し  吟醸香を感じながら熱燗でいただける  お米の味もしっかり味わえる  熱燗でもフレッシュさを失わない  杯のすすむ燗酒 旨い  吟ぎんが仕込み 大吟醸ひやおろし原酒 精米歩合 麹米50  掛米50  日本酒度 4 アルコ ル度数18 19度 旨い辛口  立香にもパワ  数値以上に辛く感じる  濃厚な料理にも負けないパワフルなお酒  豪麗辛口とでもいいましょうか  旬楽シリ ズ第5段 アルコ ル度15度以上16度未満 酒造好適米 吟ぎんが 精米歩合55  日本酒度 3 5 アミノ酸度1 45 控えめだが爽快な立香  いわてっこ使用のひやおろしと比べて  同様に飲みやすさ柔らかさがあるが  まろやかでボリュ ムとコクがある  余韻は少なく スッ と消える  使用米 いわてっこ 精米歩合55  アルコ ル度数 15 16度 日本酒度  1 立香が爽やかで心地よい  やや軽快で飲みやすく優しいお酒  口の中で転がすとまろやかで旨い  やや物足りなさは感じるが  コストパフォ マンスは高い  使用米 いわてっこ 精米歩合55  アルコ ル度数 15 5度 心地よい吟醸香  酸味のバランスがよく まろやかで 飲みやすい旨口  優しいお酒  旬楽シリ ズ第4段 アルコ ル度14度以上15度未満 酒造好適米 吟ぎんが 日本酒度1 45 アミノ酸度1 3 爽快な立香  フレッシュでマイルド  綺麗な酒質でグイグイ飲める  薄く感じて多少物足りなさはあるが  夏向きの風流が似合う酒  旬楽シリ ズ第三弾 爽快さはそのままで パワフルな生原酒  吟ぎんがのポテンシャルを最大に引き出した ような酒  香り良し 口当たり良し 初夏にピッタリの 爽快なのど越し  夏の炎天下で清流の水を飲んでいるかのよう  気持ちよく酔える生原酒   からおろし と読む  文字からして辛口であるが  思いのほか辛くは感じない  生貯蔵らしく フル ティ で綺麗な立香 口に含むと柔らかく ふくよかだが  スッキリしていてとても飲みやすい酒  ぬる燗で実力を発揮する辛颪に対して  冷酒で旨い辛颪といったところ  飲み飽きしない酒  純米吟醸 旬楽 濁り生貯蔵酒 酒造米   吟ぎんが アルコ ル度 15度以上16度未満 日本酒度   3 5 酸度    1 45 アミノ酸度 1 3 乳酸飲料のような立香 なめらかで とろりとした 舌触り  おりがらみで感じた荒 しさが火入れにより マイルドな酒に変化  日本酒度 3 5だが 甘く感じ  後から辛味が追いかけてくるが  数値ほどの辛さは感じない  甘ったるくないので飲みやすく料理との相性もいい  男女を問わず美味しくいただける  よく行くジャスコが いきなり各地の地酒を扱い出し この あさ開 と出会うことが出来ました  色 香り コク どれもあまり純米酒らしくは感じませんでした  亀齢 寒仕込 に似た感じ  純米らしさには欠けるけども 飲み易く 美味しいお酒です  値段も安いし 笑 酒造米 岩手県産いわてっこ100  精米歩合 55  アルコ ル度 17度以上18度未満 日本酒度  1 酸度1 5 清清しい吟醸香 口に含むと甘みと旨みが広がる 精米歩合55 のなせる技か   ボリュ ムがあり濃醇  やや高いアルコ ル度の為 飲みすぎ注意  食用米の いわてっこ 使用だが 酒米 とよにしき  のような味わいを感じる  純米吟醸 旬楽 おりがらみ 酒造米   吟ぎんが アルコ ル度 16度以上17度未満 日本酒度   3 5 酸度    1 5 アミノ酸度 1 35 爽快な立香 新鮮で刺激的な飲み口  あらばしりの為か 数値以上に辛く感じる  生酒の原酒であるが 生貯濁りにみられがちな 甘みは無く 辛党向き  甘辛い煮物が良く合う  精米歩合 麹米40  掛米35  アルコ ル度 16 17度 原料米 兵庫県産山田錦100  日本酒度  4 酸度 1 3 綺麗な吟醸香  4であるが甘く感じる 酒質が綺麗で飲みやすい  純米ではないが 下手な純米より旨い  純米に不足しがちな旨味を醸造アルコ ルが  うまく補填している  キレすぎず 重すぎず 快適で  後口がやや辛口であることを感じさせ  杯がすすむ酒  純米ではこの旨味は出せないと思う  酒造好適米 吟ぎんが 精米歩合 50  アルコ ル度数 15 16度 日本酒度  4 0 酸度1 35 甘く澄んだ香り まろやかで甘い口当り 口の中で徐 にボルテ ジがあがり  辛口の酒に変化する  ぬる燗にすると パワ アップ  食を欲し 次の杯を欲する食中酒向き  コストパフォ マンスの高い大吟醸 本醸造とはいえ 吟ぎんがの良さがでている  自分的には プチ大吟醸 お客さんからのお土産で戴きました  ひやおろしと言うのをはじめて飲みました  甘みのあるお酒だと思います  結構飲んだ後に香り が鼻に っと抜ける感じがします 最近  今まで ハマっていた大吟醸より 純米酒などの旨みの強いお酒が好きになってきたので 今年は純米酒      になりそうです   盛岡の駅では売店で売ってます  新幹線に持ち込んで 牛タン弁当とかとセットで飲んでます  アルコ ル度数が低いのが特徴で まったく名前どおりで水っぽい でもあっさり飲みやすい  普通に飲むには満足  でもな 大吟醸をこんな実験商品にしてしまうあさ開って恐るべしだな  日本酒度 10 酸度1 9 軽すぎず重すぎず純米酒のいい香り さすが水神の原酒 大辛口 10とは言え飲みやすい  バランスの良い酸味 旨味のある辛口  水神のボリュ ムをアップしたお酒  どんな肴にも適応し 酒だけでも旨い  酒が進む 酒飲みの酒  ポテンシャルが高い  純米大吟醸 山田錦 精米歩合50  アルコ ル度 16 17度 日本酒度 1 アミノ酸度 1 2 酸度 1 4 甘く控えめな吟醸香 柔らかな口当り  どこまでもまろやか  温燗でも美味しくいただけそうな純米大吟醸 良質の山田錦米の精米歩合を抑えて  米の旨味を引き出した優しいお酒  木桶だとこんなにまろやかで パワフルな酒に仕上がるのか  吟醸香は控えめだが 口にすると米の酒であること が思い知らされる ただの純米大吟醸ではない  吟ぎんがを最高にまろやかで力強く仕込んである  どこまでもふくよかで優しくて まるい酒  飲み疲れない酒  アルコ ル度17度以上18度未満 精米歩合65  日本酒度 5 酸度1 6 岩手県産酒造米100  心地よい控えめな芳香 数値以上に辛く感じるが  旨味は失われていない  濃厚な味覚の鍋料理でも合いそう  味の濃い料理にも負けないボリュ ム 食卓の団欒を応援してくれる様なお酒  アルコ ル分18度以上19度未満 精米歩合50  穏やかに立ち上がる甘い吟醸香  綺麗な酒質 生酒の甘い飲み口で飲み易い  飲み込むと口の中にカ ッ と広がる本醸造原酒の ボリュ ム  純米では無いが 純米の様な後口  これはボリュ ムのある純米酒の様  私的には本醸造と純米のいいとこ取りした様な  とても旨い酒  至極の 本醸造 大吟醸生原酒 純米しか飲めない人がかわいそう  スパ クリングライスワイン アルコ ル度   度の低アルコ ル 純米酒でライスワインと言うよりお米のビ ル と言った感じ  シャンパン同様 衝撃を与えると噴出すので 静かに扱う  開栓時に若干 ポンッ て感じで景気がいい  軽快でドライな感じ  酒飲みには物足りないが 酒に弱い人  シャンパン代わりの食前酒に向いている  お洒落なボトルで洋食にも合う日本酒  新感覚 低アルコ ルの大吟醸 酒に弱い人でも美味しく飲める  控えめで綺麗な香り  水感覚でスイスイ飲める  女性向けのお洒落ボトル  パッケ ジも斬新  桜のフレ バ 入り等 季節限定物もあり  日本酒度  1 0 酸度1 3 アミノ酸度1 0 アルコ ル度14 8 使用米 岩手県内産  ひとめぼれ を55 精米 ふくよかな香り  やや甘口で飲みやすい 女性向のお酒  特別醸造氷温生貯蔵酒 アルコ ル度15 16度 日本酒度  10 0 精米歩合麹米70 掛米70  米 岩手県産トヨニシキ 酸度 1 4 アミノ酸度 0 80 甘口 やや濃醇 甘くていい香り  あっさりした甘酒の様 ぐいぐい飲める  日本酒度 4 澄んだ甘い香りの辛口大吟醸 この酒は旨い  香り 味 コク 後口 申し分ない  つまみ無しでも美味しくいただける  特別純米 アルコ ル度15 16度 日本酒度  0 精米歩合60  米 無農薬米 玉栄100  仕込み水 大慈清水 まろやか系で芳醇  常温から温燗が美味しい  口当たりは やや甘口 でもキレが良く やや辛口に変貌 料理との相性の良さがいい  守備範囲の広い酒  香りが鮮烈 そのままでは癖が強いが  食事との相性で激変  ブル チ ズとゆず味噌を 少 10 1か10 2の割合で 同時に食べると むろか原酒は 水魚の交わり  岩手の酒造好適米 吟ぎんが を使った酒  吟ぎんがの特性が良くでていて  酒質が綺麗で香りが良い旨口の酒  飲みやすく旨い日本酒   10の超辛口 さぞや辛いと思いきや  極端な辛さは感じない  旨味を損なわず キリっとして 雑味は無く抜けが良い 気持ちよく飲める  和食との相性は抜群で お互いに ひきたてあう  他に類を見ない超辛口   からおろし と読む  文字からして辛口であるが  思いのほか辛くは感じない  スッキリ系で飲みやすく  旨味もあり 雑味がない  グイグイ飲める酒  脂っこい料理でも 料理の味を 損なうことなく飲める  ぬる燗が一番美味しくいただける  コストパフォ マンスは高く 1 8lで2000円以下で買える   あさ開 のフラッグシップ  世界に紹介された日本酒代表の酒  澄んだ立香と飲み口は まさに水を超えた水  神聖な水 日本酒とは思えない旨さと飲みやすさ  精米65 日本酒度 2 0アミノ酸度1 4酸度1 4使用酵母協会901号 香は控えめ 旨み十分な辛口系  最後にキリッとしたアルコ ル感が残る 
あぶくま,含むとスッキリシャ プな中にほんのり旨い 真夏にラムネを飲んだかのような爽快な感じ なかなか旨い  地元のス パ で購入 粘質感あるタッチ 含んだ瞬間はアル添感もあるが さほど気にならない どことなくバナナっぽい香味がある これで税込1772円ならかなりコスパ良いと思う 地元にはこういう掘り出し物があるから日本酒は面白い  精米歩合40%の大吟醸 控えめな香り 一瞬甘く感じるが じわじわと酸味 そして強めの渋味が残る 辛口でうまい   あぶくま 夢の香  飲む前から想像膨らむ  含んだ瞬間 らしからぬ マスカット的な吟香がブワッと広がりますが  旨味を感じながらスリムにスッとヒケていきます  酒質は瑞 しくぽっちゃりと  夢の香や夢酵母と聞くと何となくこんな感じかなぁと イメ ジしてしまいますが 思ってたよりライトな香りにスリム  良い意味であぶくまらしい 夢の香の良さを らしく 醸しており  そこに流石だなって感服です  普通においしいお酒です  次は純米吟醸あたりを飲んでみたいです  あぶくまの本醸造は初めて見た  尚且つ 氷温貯蔵というので興味重なり購入  生原酒らしいフレッシュでどっしりとしたバタ のような甘味  余韻はもたつくことなく流麗で滑らかにキレていきます  度数  度でやや高めですが スパッとキレます  これは美味しい 食中での存在感も抜群  あぶくまとしてのブランドを背負って  きちんと立ち位置を示した存在感を感じます  流石です 玄葉本店  含むと原酒らしい力強さにひやおろしの熟感が加わって  結構たくましい味わいに仕上がってます  カキフライや天ぷらなんかと合わせてもいけるんじゃないかな  思ったより力強い味わいでびっくりしました  酒単品で飲むより ひやおろしらしく  季節の食べ物をつまみながら飲むのが良いですね  飲み口のタッチはスッと入り  含むとミネラル感のあるフレッシュバタ のような甘味が 甘露のようにギュッと濃縮されて舌の上を押し寄せてきます  余韻はややドライ感もあり もたつきを感じることはありません  お酒のみを味わうも良し 食中酒としても良し  やっぱり旨いです あぶくま  頑張ろう玄葉本店 頑張ろう福島  あぶくまの中でも袋吊りということで希少な一品  含むと実に柔らかい甘味がフワフワっと口の中に広がり  広がった末にいつの間にか柑橘系の苦み 酸味を伴ってスゥっと 消えていきます 食中酒として良いですね  ホタテの刺身と合わせてみたいかな  あぶくまはどちらかというと綺麗でスマ トな印象でしたが これは学歴だけではなく人情味も兼ね備えている田舎の優等生のような 好みの味わいです  表ラベルにはありませんが  裏ラベルにて無濾過表記となっております  全体的におとなしくて柔らかい印象  スッキリとした味わいの上に丸い甘味を感じます  毎日の定番酒にしたいですね   合瓶で1 155円 cpもバッチリです  甘めで美味しいです  アルコ ル度数が高めなので酔いが早いですね  フレッシュな濁りが飲みたいときには 良いと思います  ここの酒は ここ数年で本当に美味しくなったと思います  酸味がいい  無濾過ならではのまったりというかこってりというかフレッシュさがある  山田錦ほど香は感じれないが 飲み口としてはこちらの方がスッキリしていい  値段も一升瓶で   円安い   舌に残る苦味もシャ プで好印象  行きつけの寿司屋に持ち込んで飲んだかいがあった  揚げ物にも合う味わい  オススメ  淡麗で ちょい辛です  後味に ちょっとした雑味 と言いましょうか 癖のようなものがあります  これが好き嫌いの分かれる所です  平成18年全国新酒鑑評会金賞受賞酒になります  金賞受賞はともかく 槽搾り 手作りの良さが十二分に感じれます  昔ながらの酒造りなのでしょうが それがいい  本物の 地酒 と呼べる一本です  香りは最高の一言です  脱帽です  また 味は水 空気の良さがにじみ出てます  ネットで購入できるようです  原料 米 米こうじ 醸造アルコ ル アルコ ル度数 17 5度 日本酒度  4 酸度 1 3 精米歩合 40  皆さん焼酎が多いようですが涼しくなると やっぱり日本酒です 最近の日本酒の新酒はワインのような感じがする
